state,STATE,OCC_TITLE,A_MEAN
LA,Louisiana,Healthcare,"Clinical, Counseling, and School Psychologists",81540
ME,Maine,Healthcare,"Clinical, Counseling, and School Psychologists",79920
MD,Maryland,Healthcare,"Clinical, Counseling, and School Psychologists",73840
MA,Massachusetts,Healthcare,"Clinical, Counseling, and School Psychologists",78220
MI,Michigan,Healthcare,"Clinical, Counseling, and School Psychologists",72510
MN,Minnesota,Healthcare,"Clinical, Counseling, and School Psychologists",73280
MS,Mississippi,Healthcare,"Clinical, Counseling, and School Psychologists",54820
MO,Missouri,Healthcare,"Clinical, Counseling, and School Psychologists",68280
MT,Montana,Healthcare,"Clinical, Counseling, and School Psychologists",59230
NE,Nebraska,Healthcare,"Clinical, Counseling, and School Psychologists",63530
NV,Nevada,Healthcare,"Clinical, Counseling, and School Psychologists",66770
NH,New Hampshire,Healthcare,"Clinical, Counseling, and School Psychologists",69150
NJ,New Jersey,Healthcare,"Clinical, Counseling, and School Psychologists",85670
NM,New Mexico,Healthcare,"Clinical, Counseling, and School Psychologists",63210
NY,New York,Healthcare,"Clinical, Counseling, and School Psychologists",85130
NC,North Carolina,Healthcare,"Clinical, Counseling, and School Psychologists",65020
ND,North Dakota,Healthcare,"Clinical, Counseling, and School Psychologists",65560
OH,Ohio,Healthcare,"Clinical, Counseling, and School Psychologists",72970
OK,Oklahoma,Healthcare,"Clinical, Counseling, and School Psychologists",53090
OR,Oregon,Healthcare,"Clinical, Counseling, and School Psychologists",71910
PA,Pennsylvania,Healthcare,"Clinical, Counseling, and School Psychologists",68250
RI,Rhode Island,Healthcare,"Clinical, Counseling, and School Psychologists",94590
SC,South Carolina,Healthcare,"Clinical, Counseling, and School Psychologists",54160
SD,South Dakota,Healthcare,"Clinical, Counseling, and School Psychologists",73830
TN,Tennessee,Healthcare,"Clinical, Counseling, and School Psychologists",74020
TX,Texas,Healthcare,"Clinical, Counseling, and School Psychologists",61580
UT,Utah,Healthcare,"Clinical, Counseling, and School Psychologists",61720
VT,Vermont,Healthcare,"Clinical, Counseling, and School Psychologists",61010
VA,Virginia,Healthcare,"Clinical, Counseling, and School Psychologists",72310
WA,Washington,Healthcare,"Clinical, Counseling, and School Psychologists",70080
WV,West Virginia,Healthcare,"Clinical, Counseling, and School Psychologists",49720
WI,Wisconsin,Healthcare,"Clinical, Counseling, and School Psychologists",72430
WY,Wyoming,Healthcare,"Clinical, Counseling, and School Psychologists",70790
PR,Puerto Rico,Healthcare,"Clinical, Counseling, and School Psychologists",34090
VI,Virgin Islands,Healthcare,"Clinical, Counseling, and School Psychologists",53650

AL,Alabama,Education / Training,Coaches and Scouts,37520
AK,Alaska,Education / Training,Coaches and Scouts,45620
AZ,Arizona,Education / Training,Coaches and Scouts,36550
AR,Arkansas,Education / Training,Coaches and Scouts,49610
CA,California,Education / Training,Coaches and Scouts,41780
CO,Colorado,Education / Training,Coaches and Scouts,35050
CT,Connecticut,Education / Training,Coaches and Scouts,44920
DE,Delaware,Education / Training,Coaches and Scouts,33220
DC,District of Columbia,Education / Training,Coaches and Scouts,57330
FL,Florida,Education / Training,Coaches and Scouts,52500
GA,Georgia,Education / Training,Coaches and Scouts,47600
HI,Hawaii,Education / Training,Coaches and Scouts,39390
ID,Idaho,Education / Training,Coaches and Scouts,24760
IL,Illinois,Education / Training,Coaches and Scouts,39160
IN,Indiana,Education / Training,Coaches and Scouts,34180
IA,Iowa,Education / Training,Coaches and Scouts,27330
KS,Kansas,Education / Training,Coaches and Scouts,32350
KY,Kentucky,Education / Training,Coaches and Scouts,38470
LA,Louisiana,Education / Training,Coaches and Scouts,46380
ME,Maine,Education / Training,Coaches and Scouts,23120
MD,Maryland,Education / Training,Coaches and Scouts,42130
MA,Massachusetts,Education / Training,Coaches and Scouts,42770
MI,Michigan,Education / Training,Coaches and Scouts,35260
MN,Minnesota,Education / Training,Coaches and Scouts,38390
MS,Mississippi,Education / Training,Coaches and Scouts,52580
MO,Missouri,Education / Training,Coaches and Scouts,32350
MT,Montana,Education / Training,Coaches and Scouts,27970
NE,Nebraska,Education / Training,Coaches and Scouts,33820
NV,Nevada,Education / Training,Coaches and Scouts,37390
NH,New Hampshire,Education / Training,Coaches and Scouts,36870
NJ,New Jersey,Education / Training,Coaches and Scouts,45380
NM,New Mexico,Education / Training,Coaches and Scouts,33960
NY,New York,Education / Training,Coaches and Scouts,43300
NC,North Carolina,Education / Training,Coaches and Scouts,40040
ND,North Dakota,Education / Training,Coaches and Scouts,32080
OH,Ohio,Education / Training,Coaches and Scouts,36510
OK,Oklahoma,Education / Training,Coaches and Scouts,35680
OR,Oregon,Education / Training,Coaches and Scouts,38010
PA,Pennsylvania,Education / Training,Coaches and Scouts,35140
RI,Rhode Island,Education / Training,Coaches and Scouts,41730
SC,South Carolina,Education / Training,Coaches and Scouts,41300
SD,South Dakota,Education / Training,Coaches and Scouts,32510
TN,Tennessee,Education / Training,Coaches and Scouts,48480
TX,Texas,Education / Training,Coaches and Scouts,43920
UT,Utah,Education / Training,Coaches and Scouts,33090
VT,Vermont,Education / Training,Coaches and Scouts,37360
VA,Virginia,Education / Training,Coaches and Scouts,36910
WA,Washington,Education / Training,Coaches and Scouts,36050
WV,West Virginia,Education / Training,Coaches and Scouts,46780
WI,Wisconsin,Education / Training,Coaches and Scouts,33720
WY,Wyoming,Education / Training,Coaches and Scouts,29100
PR,Puerto Rico,Education / Training,Coaches and Scouts,19940

AL,Alabama,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30130
AZ,Arizona,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",28460
AR,Arkansas,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30270
CA,California,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32150
CO,Colorado,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35890
CT,Connecticut,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35630
DE,Delaware,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",40610
FL,Florida,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",31830
GA,Georgia,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30710
HI,Hawaii,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",39830
ID,Idaho,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",27120
IL,Illinois,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33790
IN,Indiana,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30760
IA,Iowa,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32070
KS,Kansas,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",31100
KY,Kentucky,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33570
LA,Louisiana,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",34770
ME,Maine,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51350
MD,Maryland,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",45490
MA,Massachusetts,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",37030
MI,Michigan,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",29340
MN,Minnesota,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",36550
MS,Mississippi,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32990
MO,Missouri,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33730
MT,Montana,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",29770
NE,Nebraska,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33330
NV,Nevada,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",29410
NH,New Hampshire,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",36100
NJ,New Jersey,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35820
NM,New Mexico,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",27260
NY,New York,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32160
NC,North Carolina,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32310
ND,North Dakota,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33910
OH,Ohio,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33030
OK,Oklahoma,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32380
OR,Oregon,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33430
PA,Pennsylvania,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32660
RI,Rhode Island,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33720
SC,South Carolina,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",33530
SD,South Dakota,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",31220
TN,Tennessee,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",31990
TX,Texas,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32060
UT,Utah,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30690
VT,Vermont,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",38180
VA,Virginia,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",34130
WA,Washington,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",34200
WV,West Virginia,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",31520
WI,Wisconsin,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35150
WY,Wyoming,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",38940
PR,Puerto Rico,Construction / Facilities,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",18550

AL,Alabama,Construction / Facilities,"Coil Winders, Tapers, and Finishers",36150
AR,Arkansas,Construction / Facilities,"Coil Winders, Tapers, and Finishers",38920
CA,California,Construction / Facilities,"Coil Winders, Tapers, and Finishers",27830
CO,Colorado,Construction / Facilities,"Coil Winders, Tapers, and Finishers",31380
CT,Connecticut,Construction / Facilities,"Coil Winders, Tapers, and Finishers",35570
FL,Florida,Construction / Facilities,"Coil Winders, Tapers, and Finishers",32090
GA,Georgia,Construction / Facilities,"Coil Winders, Tapers, and Finishers",35790
ID,Idaho,Construction / Facilities,"Coil Winders, Tapers, and Finishers",27530
IL,Illinois,Construction / Facilities,"Coil Winders, Tapers, and Finishers",30710
IN,Indiana,Construction / Facilities,"Coil Winders, Tapers, and Finishers",34900
KS,Kansas,Construction / Facilities,"Coil Winders, Tapers, and Finishers",26160
KY,Kentucky,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33540
ME,Maine,Construction / Facilities,"Coil Winders, Tapers, and Finishers",32300
MA,Massachusetts,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33650
MI,Michigan,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33960
MN,Minnesota,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33120
MS,Mississippi,Construction / Facilities,"Coil Winders, Tapers, and Finishers",36910
MO,Missouri,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33390
NE,Nebraska,Construction / Facilities,"Coil Winders, Tapers, and Finishers",28470
NH,New Hampshire,Construction / Facilities,"Coil Winders, Tapers, and Finishers",30150
NJ,New Jersey,Construction / Facilities,"Coil Winders, Tapers, and Finishers",38760
NY,New York,Construction / Facilities,"Coil Winders, Tapers, and Finishers",29380
NC,North Carolina,Construction / Facilities,"Coil Winders, Tapers, and Finishers",32670
OH,Ohio,Construction / Facilities,"Coil Winders, Tapers, and Finishers",35260
OK,Oklahoma,Construction / Facilities,"Coil Winders, Tapers, and Finishers",32490
OR,Oregon,Construction / Facilities,"Coil Winders, Tapers, and Finishers",28220
PA,Pennsylvania,Construction / Facilities,"Coil Winders, Tapers, and Finishers",37720
SC,South Carolina,Construction / Facilities,"Coil Winders, Tapers, and Finishers",25810
TN,Tennessee,Construction / Facilities,"Coil Winders, Tapers, and Finishers",35230
TX,Texas,Construction / Facilities,"Coil Winders, Tapers, and Finishers",33170
VA,Virginia,Construction / Facilities,"Coil Winders, Tapers, and Finishers",28920
WA,Washington,Construction / Facilities,"Coil Winders, Tapers, and Finishers",36010
WV,West Virginia,Construction / Facilities,"Coil Winders, Tapers, and Finishers",32330
WI,Wisconsin,Construction / Facilities,"Coil Winders, Tapers, and Finishers",38140
PR,Puerto Rico,Construction / Facilities,"Coil Winders, Tapers, and Finishers",17090

AL,Alabama,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31430
AK,Alaska,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",35350
AZ,Arizona,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31380
AR,Arkansas,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",29490
CA,California,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32660
CO,Colorado,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36040
CT,Connecticut,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36950
DE,Delaware,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36320
FL,Florida,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",27250
GA,Georgia,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",34580
ID,Idaho,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",35260
IL,Illinois,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",34670
IN,Indiana,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",30040
IA,Iowa,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",30980
KS,Kansas,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",30060
KY,Kentucky,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",34900
LA,Louisiana,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",28630
ME,Maine,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",28720
MD,Maryland,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",33770
MA,Massachusetts,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",39020
MI,Michigan,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31410
MN,Minnesota,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36590
MS,Mississippi,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32530
MO,Missouri,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32170
MT,Montana,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",33550
NE,Nebraska,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",29460
NV,Nevada,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",44120
NH,New Hampshire,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32430
NJ,New Jersey,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",41040
NM,New Mexico,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32060
NY,New York,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",39030
NC,North Carolina,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",33400
ND,North Dakota,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31830
OH,Ohio,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32490
OK,Oklahoma,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",27910
OR,Oregon,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",35290
PA,Pennsylvania,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31750
RI,Rhode Island,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",23490
SC,South Carolina,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",32830
SD,South Dakota,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31100
TN,Tennessee,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",30090
TX,Texas,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",29260
UT,Utah,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",39940
VA,Virginia,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36190
WA,Washington,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",36110
WV,West Virginia,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",28840
WI,Wisconsin,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",35500
WY,Wyoming,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",31530
PR,Puerto Rico,Construction / Facilities,"Coin, Vending, and Amusement Machine Servicers and Repairers",18710

AL,Alabama,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17350
AK,Alaska,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",22210
AZ,Arizona,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19300
AR,Arkansas,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17320
CA,California,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",20750
CO,Colorado,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19880
CT,Connecticut,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",22230
DE,Delaware,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18940
DC,District of Columbia,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",24450
FL,Florida,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19180
GA,Georgia,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17730
HI,Hawaii,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",20340
ID,Idaho,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18220
IL,Illinois,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19450
IN,Indiana,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17890
IA,Iowa,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18130
KS,Kansas,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18410
KY,Kentucky,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17370
LA,Louisiana,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17500
ME,Maine,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19020
MD,Maryland,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18750
MA,Massachusetts,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",20810
MI,Michigan,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18740
MN,Minnesota,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18450
MS,Mississippi,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17710
MO,Missouri,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18600
MT,Montana,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19890
NE,Nebraska,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18340
NV,Nevada,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19820
NH,New Hampshire,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19500
NJ,New Jersey,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",21350
NM,New Mexico,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17950
NY,New York,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",20290
NC,North Carolina,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17950
ND,North Dakota,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19740
OH,Ohio,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19030
OK,Oklahoma,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17930
OR,Oregon,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",21260
PA,Pennsylvania,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18960
RI,Rhode Island,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19520
SC,South Carolina,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17690
SD,South Dakota,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17760
TN,Tennessee,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18040
TX,Texas,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18330
UT,Utah,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18370
VT,Vermont,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",21810
VA,Virginia,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18860
WA,Washington,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",22230
WV,West Virginia,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17470
WI,Wisconsin,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18380
WY,Wyoming,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",18280
GU,Guam,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",17060
PR,Puerto Rico,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",16970
VI,Virgin Islands,Restaurant / Food Service,"Combined Food Preparation and Serving Workers, Including Fast Food",19420

AL,Alabama,Construction / Facilities,Commercial and Industrial Designers,56230
AZ,Arizona,Construction / Facilities,Commercial and Industrial Designers,63190
AR,Arkansas,Construction / Facilities,Commercial and Industrial Designers,56160
CA,California,Construction / Facilities,Commercial and Industrial Designers,71500
CO,Colorado,Construction / Facilities,Commercial and Industrial Designers,62650
CT,Connecticut,Construction / Facilities,Commercial and Industrial Designers,68030
FL,Florida,Construction / Facilities,Commercial and Industrial Designers,58710
GA,Georgia,Construction / Facilities,Commercial and Industrial Designers,67140
HI,Hawaii,Construction / Facilities,Commercial and Industrial Designers,45440
ID,Idaho,Construction / Facilities,Commercial and Industrial Designers,64690
IL,Illinois,Construction / Facilities,Commercial and Industrial Designers,65600
IN,Indiana,Construction / Facilities,Commercial and Industrial Designers,55370
IA,Iowa,Construction / Facilities,Commercial and Industrial Designers,57630
KS,Kansas,Construction / Facilities,Commercial and Industrial Designers,53610
KY,Kentucky,Construction / Facilities,Commercial and Industrial Designers,50850
LA,Louisiana,Construction / Facilities,Commercial and Industrial Designers,67720
ME,Maine,Construction / Facilities,Commercial and Industrial Designers,57300
MD,Maryland,Construction / Facilities,Commercial and Industrial Designers,64790
MA,Massachusetts,Construction / Facilities,Commercial and Industrial Designers,74800
MI,Michigan,Construction / Facilities,Commercial and Industrial Designers,75540
MN,Minnesota,Construction / Facilities,Commercial and Industrial Designers,60100
MS,Mississippi,Construction / Facilities,Commercial and Industrial Designers,67490
MO,Missouri,Construction / Facilities,Commercial and Industrial Designers,55360
NE,Nebraska,Construction / Facilities,Commercial and Industrial Designers,57260
NV,Nevada,Construction / Facilities,Commercial and Industrial Designers,71750
NH,New Hampshire,Construction / Facilities,Commercial and Industrial Designers,70080
NJ,New Jersey,Construction / Facilities,Commercial and Industrial Designers,67890
NM,New Mexico,Construction / Facilities,Commercial and Industrial Designers,59310
NY,New York,Construction / Facilities,Commercial and Industrial Designers,72830
NC,North Carolina,Construction / Facilities,Commercial and Industrial Designers,69770
OH,Ohio,Construction / Facilities,Commercial and Industrial Designers,64850
OK,Oklahoma,Construction / Facilities,Commercial and Industrial Designers,58590
OR,Oregon,Construction / Facilities,Commercial and Industrial Designers,59450
PA,Pennsylvania,Construction / Facilities,Commercial and Industrial Designers,63120
RI,Rhode Island,Construction / Facilities,Commercial and Industrial Designers,60090
SC,South Carolina,Construction / Facilities,Commercial and Industrial Designers,72130
SD,South Dakota,Construction / Facilities,Commercial and Industrial Designers,38670
TN,Tennessee,Construction / Facilities,Commercial and Industrial Designers,56140
TX,Texas,Construction / Facilities,Commercial and Industrial Designers,62060
UT,Utah,Construction / Facilities,Commercial and Industrial Designers,50890
VT,Vermont,Construction / Facilities,Commercial and Industrial Designers,56360
VA,Virginia,Construction / Facilities,Commercial and Industrial Designers,52180
WA,Washington,Construction / Facilities,Commercial and Industrial Designers,67750
WV,West Virginia,Construction / Facilities,Commercial and Industrial Designers,59670
WI,Wisconsin,Construction / Facilities,Commercial and Industrial Designers,61180
PR,Puerto Rico,Construction / Facilities,Commercial and Industrial Designers,37900

AL,Alabama,Transportation / Logistics,Commercial Divers,36710
AK,Alaska,Transportation / Logistics,Commercial Divers,0
CA,California,Transportation / Logistics,Commercial Divers,0
FL,Florida,Transportation / Logistics,Commercial Divers,48580
HI,Hawaii,Transportation / Logistics,Commercial Divers,37840
KY,Kentucky,Transportation / Logistics,Commercial Divers,46750
LA,Louisiana,Transportation / Logistics,Commercial Divers,48690
MI,Michigan,Transportation / Logistics,Commercial Divers,47300
MO,Missouri,Transportation / Logistics,Commercial Divers,47690
NH,New Hampshire,Transportation / Logistics,Commercial Divers,0
NJ,New Jersey,Transportation / Logistics,Commercial Divers,74390
NY,New York,Transportation / Logistics,Commercial Divers,0
PA,Pennsylvania,Transportation / Logistics,Commercial Divers,47860
SC,South Carolina,Transportation / Logistics,Commercial Divers,53090
TN,Tennessee,Transportation / Logistics,Commercial Divers,45660
TX,Texas,Transportation / Logistics,Commercial Divers,47300
VA,Virginia,Transportation / Logistics,Commercial Divers,53830
GU,Guam,Transportation / Logistics,Commercial Divers,22280

AL,Alabama,Transportation / Logistics,Commercial Pilots,88910
AK,Alaska,Transportation / Logistics,Commercial Pilots,76080
AZ,Arizona,Transportation / Logistics,Commercial Pilots,70400
AR,Arkansas,Transportation / Logistics,Commercial Pilots,86590
CA,California,Transportation / Logistics,Commercial Pilots,92220
CO,Colorado,Transportation / Logistics,Commercial Pilots,90810
CT,Connecticut,Transportation / Logistics,Commercial Pilots,102160
DE,Delaware,Transportation / Logistics,Commercial Pilots,89030
FL,Florida,Transportation / Logistics,Commercial Pilots,80860
