state,STATE,OCC_TITLE,A_MEAN
AZ,Arizona,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,30190
AR,Arkansas,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,29650
CA,California,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,30930
CO,Colorado,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,26910
CT,Connecticut,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,36880
DE,Delaware,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,27970
FL,Florida,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,29790
GA,Georgia,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,30640
ID,Idaho,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34360
IL,Illinois,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,36390
IN,Indiana,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,31150
IA,Iowa,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,33580
KS,Kansas,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,28300
KY,Kentucky,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,32370
LA,Louisiana,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34980
ME,Maine,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,27770
MD,Maryland,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,35320
MA,Massachusetts,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,33390
MI,Michigan,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,29800
MN,Minnesota,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,32500
MS,Mississippi,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,26360
MO,Missouri,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,29410
MT,Montana,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,41260
NJ,New Jersey,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,33460
NY,New York,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,31420
NC,North Carolina,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,28820
OH,Ohio,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34260
OK,Oklahoma,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,27260
OR,Oregon,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,37470
PA,Pennsylvania,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34490
RI,Rhode Island,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34250
SC,South Carolina,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,31070
SD,South Dakota,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,29020
TN,Tennessee,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,31210
TX,Texas,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,42280
VT,Vermont,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,24190
VA,Virginia,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,34470
WA,Washington,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,46090
WV,West Virginia,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,26250
WI,Wisconsin,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,33770
PR,Puerto Rico,Manufacturing / Mechanical,Adhesive Bonding Machine Operators and Tenders,21170

AL,Alabama,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",121110
AZ,Arizona,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",93380
AR,Arkansas,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",65760
CA,California,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",107900
CO,Colorado,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",109530
CT,Connecticut,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",92790
DE,Delaware,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",63840
FL,Florida,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",92300
GA,Georgia,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",68090
HI,Hawaii,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",81160
ID,Idaho,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",74620
IL,Illinois,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",91530
